State,Rate2015,Midwest
Alabama,9.9,N
Alaska,3.3,N
Arizona,10.5,N
Arkansas,8.7,N
California,12.1,N
Colorado,6.9,N
Connecticut,7.6,N
Delaware,11.5,N
District of Columbia,57,N
Florida,24,N
Georgia,23.4,N
Hawaii,8,N
Idaho,2.4,N
Illinois,11.5,Y
Indiana,9.6,Y
Iowa,4,Y
Kansas,5.1,N
Kentucky,7.6,N
Louisiana,24.2,N
Maine,3.5,N
Maryland,22.4,N
Massachusetts,8.9,N
Michigan,7.3,Y
Minnesota,5.2,Y
Mississippi,17,N
Missouri,7.7,N
Montana,1.8,N
Nebraska,4.3,N
Nevada,16.8,N
New Hampshire,1.7,N
New Jersey,13.3,N
New Mexico,6.5,N
New York,15.8,N
North Carolina,13.4,N
North Dakota,2.9,N
Ohio,8,N
Oklahoma,8.2,N
Oregon,5.2,N
Pennsylvania,9.2,N
Rhode Island,6.1,N
South Carolina,14.2,N
South Dakota,2.9,N
Tennessee,10.9,N
Texas,16.3,N
Utah,3.9,N
Vermont,1.9,N
Virginia,11.4,N
Washington,6.3,N
West Virginia,4,N
Wisconsin,4,Y
Wyoming,2.6,N
US,12.3,N
